,total ask volume,total bid volume,ask price,bid price,bid-ask spread,mid price,ask price spread,bid price spread,mean ask volume,mean bid volume,mean ask price,mean bid price
2016-01-01 00:00:00,318.63279889,387.5955279100001,430.89,429.84,1.0500000000000114,430.365,2.1100000000000136,1.5199999999999818,15.9316399445,19.379776395500006,432.1405,429.009
2016-01-01 00:05:00,217.43994654,342.19449292,431.06,430.19,0.8700000000000045,430.625,2.740000000000009,1.5,10.871997326999999,17.109724646,432.62199999999996,429.21449999999993
2016-01-01 00:10:00,414.54388647,305.88847007,432.41,431.46,0.9500000000000455,431.935,1.4899999999999523,2.5299999999999727,20.7271943235,15.2944235035,433.13199999999995,430.11100000000005
2016-01-01 00:15:00,183.18091918999997,222.30964844,432.38,431.46,0.9200000000000159,431.91999999999996,1.490000000000009,2.669999999999959,9.159045959499998,11.115482422,433.08299999999997,430.03450000000004
2016-01-01 00:20:00,311.29751085,398.5698886199999,432.42,431.46,0.9600000000000364,431.94,1.4699999999999704,2.4499999999999886,15.5648755425,19.928494430999997,433.2915,430.2975
2016-01-01 00:25:00,419.6119407,434.47772039999995,432.4,431.46,0.9399999999999977,431.92999999999995,1.5200000000000387,2.4399999999999977,20.980597035,21.72388602,433.25199999999995,430.178
2016-01-01 00:30:00,234.42920416000004,264.97527866,432.39,431.46,0.9300000000000068,431.92499999999995,1.410000000000025,2.4499999999999886,11.721460208000002,13.248763933000001,433.07349999999997,430.31400000000014
2016-01-01 00:35:00,427.12220293999997,306.56741707000003,432.4,430.45,1.9499999999999886,431.42499999999995,1.5,1.6200000000000045,21.356110147,15.328370853500001,433.1205,429.7195
2016-01-01 00:40:00,248.87316849,253.62886015,431.11,430.09,1.0200000000000387,430.6,2.349999999999966,1.4099999999999682,12.4436584245,12.6814430075,432.6055,429.3755
2016-01-01 00:45:00,216.69134953999998,225.56600015,431.02,430.46,0.5600000000000023,430.74,2.7700000000000387,1.669999999999959,10.834567476999998,11.2783000075,432.7370000000001,429.4195000000001
