,mid price,B-ASPREAD,K360,K180,K60,D360,D180,D60,sD360,sD180,sD60,MOM360,MOM180,MOM60,ROC360,ROC180,ROC60,LWR360,LWR180,LWR60,ADOSC360,ADOSC180,ADOSC60,DISP360,DISP180,DISP60,OSCP180-360,OSCP60-180,RSI360,RSI180,RSI60,CCI360,CCI180,CCI60,DELTAP
2016-01-08 11:40:00,454.46000000000004,0.5400000000000205,76.75020430400447,63.195342820181246,36.96017947279875,71.38801498135534,87.9457679367811,28.808811748215767,67.16727073685415,79.68543872426743,58.00423575256951,22.805000000000007,14.65500000000003,1.0550000000000637,105.27844644014444,103.32924419000886,100.23248639238416,23.24979569599553,36.804657179818754,63.03982052720125,0.21547262326341488,0.3410952996981444,0.5602916432978119,102.77493685237148,100.25678892611525,99.81004028872118,0.02450157600070699,0.004456043747055369,55.76244462797503,55.63468789275238,40.84718498659524,1.2662628820862196,1.5693519648877288,-1.9205162747579025,-0.3849999999999909
2016-01-08 11:50:00,454.43,0.4800000000000182,75.7014437482976,61.37692141156117,32.64161525518809,71.401374495158,87.81091230889298,29.13986307416816,67.19358949722267,79.86797542658645,57.11279131237255,22.230000000000018,14.175000000000068,-3.3349999999999227,105.14309511139903,103.2195055475431,99.2715079893839,24.298556251702397,38.62307858843883,67.35838474481191,0.23249795695995532,0.3695605109331006,0.6303982052720125,102.67349555922533,100.15442598235204,99.72311325878248,0.024534760048373103,0.004306476916412623,55.60640160040006,55.42461795788031,50.89524318546242,1.2425704881267678,1.5442139289988066,-1.9946304512046371,-0.03000000000002956
2016-01-08 12:00:00,454.74,0.12000000000000455,75.61972214655412,58.24585957546064,32.3051037577116,71.40955134462612,87.65531835309763,28.85821174146548,67.21956093282728,80.04846387170613,56.22916231007984,22.180000000000007,12.484999999999957,-4.064999999999998,105.13128976286872,102.82501216214686,99.11340363580847,24.38027785344587,41.75414042453936,67.69489624228841,0.24298556251702397,0.41614182411943,0.673583847448119,102.65241630981647,100.13047366463407,99.7288034046886,0.024567786476364088,0.004011468689250072,55.555833625306526,55.37975887118243,44.96935266856042,1.234163375164429,1.6949119883743657,-1.9072574711761225,0.3100000000000023
2016-01-08 12:10:00,455.25,0.4600000000000364,76.46417869790254,58.93536121673003,35.782389231631974,71.41955225832791,87.44513100111301,28.528406329311156,67.24518541034527,80.22628723795331,55.35094651301155,23.16500000000002,12.399999999999977,-3.7549999999999955,105.36754909343684,102.80327350002261,99.18101615066686,23.53582130209746,41.06463878326997,64.21761076836803,0.24380277853445873,0.4253802281368823,0.676948962422884,102.70794887979164,100.18308860526473,99.81054419068637,0.024582910106422013,0.003718635747458671,55.62025189924026,54.916804365369046,44.32007260626231,1.2402699359074767,1.7597538920846754,-1.7143017921459007,0.5099999999999909
2016-01-08 12:20:00,455.345,0.22999999999996135,77.8534459275402,51.024096385542265,41.503084688726645,71.45101788147039,87.17709009077119,28.293945841441744,67.27055628650068,80.40067385987516,54.47958584497264,24.095000000000027,7.149999999999977,-3.4350000000000023,105.58847746170173,101.59562597634455,99.25112004970732,22.146554072459786,48.975903614457735,58.496915311273355,0.2353582130209746,0.5204819277108418,0.6421761076836803,102.8078673455454,100.27960074658091,99.9343466282173,0.0245921510118169,0.0034429147682399548,55.92126653827872,54.95661521922748,45.16609563533443,1.2548387678744124,2.218854322670142,-1.46816118181274,0.09500000000002728
2016-01-08 12:30:00,454.8,0.39999999999997726,78.1122309997277,51.59638554216893,42.5687044307348,71.49415696862404,86.90818112156101,28.04844471246786,67.29576459365776,80.5713643259411,53.612955174715665,24.370000000000005,7.920000000000016,-5.1200000000000045,105.6546203376066,101.7701290719115,98.88808052729307,21.887769000272296,48.40361445783107,57.4312955692652,0.22146554072459787,0.4897590361445774,0.5849691531127336,102.81371963507347,100.29163487511856,99.96741628720937,0.024530624598611765,0.0032327580292503765,56.05992284182571,52.908120258499565,45.010457125784335,1.2516969080298057,2.195991102064212,-1.3831881827246644,-0.5450000000000159
2016-01-08 12:40:00,455.42499999999995,0.8299999999999841,76.62762190138935,48.31325301204836,43.44919786096279,71.53786697729639,86.63853136059461,27.547798859021267,67.32083308678088,80.73835226358838,52.7420363877292,23.805000000000007,6.439999999999998,-2.714999999999975,105.5232659311593,101.43634579355876,99.40657683354644,23.372378098610668,51.68674698795164,56.55080213903721,0.21887769000272297,0.4840361445783107,0.49264705882352466,102.67531955990626,100.16255738021022,99.8684669926811,0.024472893685321948,0.0029361309776942215,55.95759045785296,52.963394543335866,41.21296727159918,1.2214473186553694,2.116710566548281,-2.032108318560436,0.6249999999999432
2016-01-08 12:50:00,455.90999999999997,0.1400000000000432,78.33015527104322,52.07831325301187,51.80481283422411,71.58578459691992,86.3722997675558,27.633586212533917,67.34578826037686,80.90157049943033,51.88086533577857,24.599999999999966,7.044999999999959,-3.150000000000034,105.70997504787326,101.57121191846201,99.31308946192007,21.66984472895678,47.92168674698813,48.19518716577589,0.23372378098610666,0.5168674698795164,0.565508021390372,102.80066976279451,100.29153441771804,100.01335927105956,0.024407772350765168,0.0027736652776681114,56.090446749102455,52.84592145015101,46.50618522233361,1.2410404503703516,2.1454608483860613,-1.7247937896203622,0.48500000000001364
2016-01-08 13:00:00,455.375,0.25,79.6513211658948,54.9999999999999,58.28877005347566,71.6418061332832,86.1222997675558,27.666760423141717,67.37064380958549,81.061015262456,51.025148198857664,24.00999999999999,7.644999999999982,-3.1200000000000045,105.55915721231766,101.70546440163741,99.32030586236193,20.348678834105204,45.0000000000001,41.71122994652434,0.21669844728956777,0.47921686746988135,0.48195187165775893,102.89396243779457,100.38909063573767,100.12963417466513,0.02434420584756111,0.0025845085300552004,56.24393279402608,53.021911870936634,45.457644452019736,1.254554641993864,2.160456267992035,-1.4956742769465758,-0.5349999999999682
2016-01-08 13:10:00,455.535,0.12999999999999545,78.19395260147103,51.77710843373503,51.794177386594356,71.66574082165191,85.85733764669403,27.52272067835713,67.39523867969933,81.21721385247189,50.172259797335414,23.610000000000014,7.574999999999989,-2.805000000000007,105.46825240582261,101.69160339437249,99.38779518966345,21.806047398528978,48.22289156626497,48.205822613405644,0.20348678834105202,0.450000000000001,0.4096140825998697,102.75809599625175,100.2625657859368,100.0255166200326,0.02428548511064256,0.0023642838585470043,55.858936281728056,52.843772498200124,43.78718340982496,1.2247199045831108,2.082784447078132,-1.6575497645097064,0.160000000000025
