"OrderBookData","ID","Date"
"{\"asks\":{\"L\":[]},\"bids\":{\"L\":[{\"L\":[{\"S\":\"373.04\"},{\"S\":\"0\"}]}]}}","209963","6/2/2016 10:17:52"
"{\"asks\":{\"L\":[]},\"bids\":{\"L\":[]}}","1797964","28/2/2016 16:0:7"
"{\"asks\":{\"L\":[{\"L\":[{\"S\":\"411.99000000\"},{\"S\":\"0.50891000\"}]},{\"L\":[{\"S\":\"412.01000000\"},{\"S\":\"0.26000000\"}]},{\"L\":[{\"S\":\"415.91000000\"},{\"S\":\"2.50000000\"}]}]},\"bids\":{\"L\":[{\"L\":[{\"S\":\"409.31000000\"},{\"S\":\"0.73000000\"}]},{\"L\":[{\"S\":\"409.27000000\"},{\"S\":\"13.48004590\"}]}]}}","2890891","12/3/2016 18:4:18"
"{\"asks\":{\"L\":[{\"L\":[{\"S\":\"382.46\"},{\"S\":\"0.09159546\"}]},{\"L\":[{\"S\":\"382.49\"},{\"S\":\"0\"}]},{\"L\":[{\"S\":\"382.68\"},{\"S\":\"0.40000000\"}]},{\"L\":[{\"S\":\"382.74\"},{\"S\":\"0.97066525\"}]},{\"L\":[{\"S\":\"382.89\"},{\"S\":\"0\"}]},{\"L\":[{\"S\":\"383.37\"},{\"S\":\"0.04849800\"}]},{\"L\":[{\"S\":\"383.85\"},{\"S\":\"0\"}]}]},\"bids\":{\"L\":[{\"L\":[{\"S\":\"378.47\"},{\"S\":\"0\"}]},{\"L\":[{\"S\":\"378.15\"},{\"S\":\"0\"}]}]}}","585808","12/2/2016 22:12:41"
"{\"asks\":{\"L\":[{\"L\":[{\"S\":\"428.96000000\"},{\"S\":\"5.89700000\"}]},{\"L\":[{\"S\":\"429.14000000\"},{\"S\":\"0\"}]}]},\"bids\":{\"L\":[]}}","5928801","17/4/2016 10:10:6"
"{\"asks\":{\"L\":[{\"L\":[{\"S\":\"380.88\"},{\"S\":\"0\"}]},{\"L\":[{\"S\":\"380.97\"},{\"S\":\"4.48580000\"}]},{\"L\":[{\"S\":\"384.19\"},{\"S\":\"0\"}]},{\"L\":[{\"S\":\"388.75\"},{\"S\":\"0\"}]}]},\"bids\":{\"L\":[{\"L\":[{\"S\":\"379.52\"},{\"S\":\"15.99240000\"}]},{\"L\":[{\"S\":\"379.51\"},{\"S\":\"7.79030000\"}]},{\"L\":[{\"S\":\"375.13\"},{\"S\":\"0\"}]},{\"L\":[{\"S\":\"370.74\"},{\"S\":\"0\"}]}]}}","452020","10/2/2016 13:31:20"
"{\"asks\":{\"L\":[{\"L\":[{\"S\":\"422.60000000\"},{\"S\":\"7.60234466\"}]}]},\"bids\":{\"L\":[]}}","5167644","8/4/2016 11:47:41"
"{\"asks\":{\"L\":[{\"L\":[{\"S\":\"422.70\"},{\"S\":\"1.56002718\"}]},{\"L\":[{\"S\":\"422.73\"},{\"S\":\"0\"}]},{\"L\":[{\"S\":\"423.09\"},{\"S\":\"8.00910000\"}]}]},\"bids\":{\"L\":[{\"L\":[{\"S\":\"421.10\"},{\"S\":\"6.00000000\"}]},{\"L\":[{\"S\":\"420.49\"},{\"S\":\"23.79000000\"}]},{\"L\":[{\"S\":\"420.44\"},{\"S\":\"0\"}]},{\"L\":[{\"S\":\"420.40\"},{\"S\":\"0.02158656\"}]}]}}","2167296","4/3/2016 4:24:12"
"{\"asks\":{\"L\":[]},\"bids\":{\"L\":[]}}","4038609","26/3/2016 15:9:15"
"{\"asks\":{\"L\":[]},\"bids\":{\"L\":[]}}","5832691","16/4/2016 6:30:26"
